Number,Cell,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
283,20180712_sample_11,20180712_slice_11,7/12/2018,sample 11,mouse_XTKQH,2/22/2018,140,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,2224565,457634,114756,4,11080,Pvalb,Pvalb Il1rapl2,0.74,Pvalb Il1rapl2 (73.6%),,,,,,,,,,,
284,20180712_sample_12,20180712_slice_12,7/12/2018,sample 12,mouse_XTKQH,2/22/2018,140,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3221944,885615,178807,4,10275,Pvalb,Pvalb Reln,0.64,Pvalb Reln (63.6%),,,,,,,,,,,
285,20180712_sample_13,20180712_slice_13,7/12/2018,sample 13,mouse_XTKQH,2/22/2018,140,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,774857,43140,57450,4,13910,IT,L2/3 IT_3,0.73,L2/3 IT_3 (72.9%),,,,,,,,,,,
286,20180712_sample_14,20180712_slice_14,7/12/2018,sample 14,mouse_XTKQH,2/22/2018,140,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1181737,1990738,218519,4,11151,Pvalb,Pvalb Reln,0.95,Pvalb Reln (95.1%),Pvalb Reln Itm2a (100.0%),1504,435.23,Matteo,20,585,214.8,618.3,1706.508,y,
287,20180712_sample_15,20180712_slice_15,7/12/2018,sample 15,mouse_XTKQH,2/22/2018,140,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1106818,1334838,169504,4,9896,Pvalb,Pvalb Reln,1,Pvalb Reln (100.0%),Pvalb Reln Itm2a (100.0%),1801,220.26,Matteo,25,639.5,232.2,667.8,1843.128,,
288,20180717_sample_1,20180717_slice_1,7/17/2018,sample 1,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,402297,560807,52345,4,9727,Pvalb,Pvalb Calb1_2,0.59,Pvalb Calb1_2 (59.4%),,,,,,,,,,,
289,20180717_sample_2,20180717_slice_2,7/17/2018,sample 2,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,1,1,PV-,1590219,65526,87267,4,7495,Lamp5,Lamp5 Egln3_1,0.48,Lamp5 Egln3_1 (47.7%),,,,,,,,,,,
290,20180717_sample_3,20180717_slice_3,7/17/2018,sample 3,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1323883,1800144,224179,4,11890,Pvalb,Pvalb Il1rapl2,0.96,Pvalb Il1rapl2 (96.3%),Pvalb Tpbg (100.0%),1759,426.03,Fede,33,747.3,271.4,613.9,1694.364,y,
291,20180717_sample_4,20180717_slice_4,7/17/2018,sample 4,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1310290,930079,135032,4,10194,Pvalb,Pvalb Reln,0.57,Pvalb Reln (57.4%),,,,,,,,,,,
292,20180717_sample_6,20180717_slice_6,7/17/2018,sample 6,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1814459,1358199,181592,4,11364,Pvalb,Pvalb Reln,0.49,Pvalb Reln (48.6%),,,,,,,,,,,
293,20180717_sample_7,20180717_slice_7,7/17/2018,sample 7,mouse_DFHTC,5/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1413161,1522578,217179,4,12748,ET,L5 ET_3,0.65,L5 ET_3 (65.3%),,,,,,,,,,,
294,20180718_sample_2,20180718_slice_2,7/18/2018,sample 2,mouse_PYCYR,2/22/2018,146,F,Pvalb-Cre/wt; Ai9/wt,5,3-Feb,PV+,1228111,58880,68069,4,6639,Pvalb,Pvalb Il1rapl2,0.47,Pvalb Il1rapl2 (46.6%),,,,,,,,,,,
295,20180718_sample_3,20180718_slice_3,7/18/2018,sample 3,mouse_PYCYR,2/22/2018,146,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,5,PV+,1262763,735330,94051,4,8633,Pvalb,Pvalb Reln,0.97,Pvalb Reln (96.6%),Pvalb Reln Itm2a (100.0%),1891,147.29,Matteo,45,518.6,184.6,585.8,1616.808,,
296,20180718_sample_4,20180718_slice_4,7/18/2018,sample 4,mouse_PYCYR,2/22/2018,146,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2037237,1492508,296576,4,12287,Pvalb,Pvalb Gpr149,0.96,Pvalb Gpr149 (96.1%),Pvalb Gpr149 Islr (98.0%),2085,219.13,Matteo,45,848.7,294.7,621.7,1715.892,,
297,20180719_sample_1,20180719_slice_1,7/19/2018,sample 1,mouse_NRBVC,5/27/2018,53,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1468083,1108494,181531,4,11833,Pvalb,Pvalb Reln,0.95,Pvalb Reln (95.1%),Pvalb Reln Itm2a (100.0%),1890,428.54,Fede,33,573.1,202.7,577.4,1593.624,y,
298,20180719_sample_4,20180719_slice_4,7/19/2018,sample 4,mouse_NRBVC,5/27/2018,53,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,795603,413298,148031,4,9722,Pvalb,Pvalb Calb1_2,0.65,Pvalb Calb1_2 (65.3%),,,,,,,,,,,
299,20180720_sample_2,20180720_slice_2,7/20/2018,sample 2,mouse_PIDAD,2/16/2018,154,M,wt/wt,3-Feb,3-Feb,WT,2150157,2695117,313065,4,12643,Sncg,Sncg Calb1_1,0.85,Sncg Calb1_1 (84.9%),,,,,,,,,,,
300,20180720_sample_3,20180720_slice_3,7/20/2018,sample 3,mouse_PIDAD,2/16/2018,154,M,wt/wt,3-Feb,3-Feb,WT,700533,586791,75861,4,8790,Pvalb,Pvalb Il1rapl2,0.9,Pvalb Il1rapl2 (89.7%),,,,,,,,,,,
301,20180720_sample_5,20180720_slice_5,7/20/2018,sample 5,mouse_PIDAD,2/16/2018,154,M,wt/wt,5,3-Feb,WT,2340636,461106,97374,4,10455,Lamp5,Lamp5 Slc35d3,0.65,Lamp5 Slc35d3 (65.1%),,,,,,,,,,,
302,20180725_sample_3,20180725_slice_3,7/25/2018,sample 3,mouse_ANUPT,6/7/2018,48,M,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT-,1002422,52327,80456,4,5107,IT,L2/3 IT_3,0.56,L2/3 IT_3 (55.9%),,,,,,,,,,,
303,20180725_sample_4,20180725_slice_4,7/25/2018,sample 4,mouse_ANUPT,6/7/2018,48,M,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT-,480025,48152,60125,4,4750,low quality,,,,,1506,97.72,Fede,15,234.6,89,554.1,1529.316,,
304,20180725_sample_6,20180725_slice_6,7/25/2018,sample 6,mouse_ANUPT,6/7/2018,48,M,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT+,2126793,1588839,187340,4,11504,Pvalb,Pvalb Il1rapl2,0.51,Pvalb Il1rapl2 (51.4%),,,,,,,,,,,
305,20180725_sample_7,20180725_slice_7,7/25/2018,sample 7,mouse_ANUPT,6/7/2018,48,M,Viaat-Cre/wt; Ai9/wt,3-Feb,3-Feb,VIAAT-,1252257,1204965,184342,4,12620,IT,L2/3 IT_3,0.98,L2/3 IT_3 (98.3%),L2/3 IT VISp Agmat (89.0%),,,,,,,,,,
306,20180725_sample_9,20180725_slice_9,7/25/2018,sample 9,mouse_ANUPT,6/7/2018,48,M,Viaat-Cre/wt; Ai9/wt,1,1,VIAAT+,1303261,308691,83397,4,9352,Lamp5,Lamp5 Pdlim5_2,0.67,Lamp5 Pdlim5_2 (67.1%),,,,,,,,,,,
307,20180726_sample_3,20180726_slice_3,7/26/2018,sample 3,mouse_XHGCQ,6/11/2018,45,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2127985,1532633,205006,4,10701,Pvalb,Pvalb Il1rapl2,0.65,Pvalb Il1rapl2 (65.0%),,,,,,,,,,,
308,20180726_sample_4,20180726_slice_4,7/26/2018,sample 4,mouse_XHGCQ,6/11/2018,45,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,5,PV+,1597000,1681093,328613,4,12219,Pvalb,Pvalb Reln,0.82,Pvalb Reln (82.1%),,,,,,,,,,,
309,20180726_sample_5,20180726_slice_5,7/26/2018,sample 5,mouse_XHGCQ,6/11/2018,45,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1208032,1123124,169356,4,8898,Pvalb,Pvalb Reln,0.96,Pvalb Reln (96.1%),Pvalb Reln Itm2a (100.0%),1675,175.27,Fede,29,509.3,186,522,1440.72,,
310,20180726_sample_6,20180726_slice_6,7/26/2018,sample 6,mouse_XHGCQ,6/11/2018,45,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1430584,1167323,187407,4,11660,Pvalb,Pvalb Il1rapl2,0.86,Pvalb Il1rapl2 (86.0%),,,,,,,,,,,
311,20180726_sample_7,20180726_slice_7,7/26/2018,sample 7,mouse_XHGCQ,6/11/2018,45,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1308022,1223345,136511,4,11364,Pvalb,Pvalb Gpr149,1,Pvalb Gpr149 (99.6%),Pvalb Gpr149 Islr (91.0%),,,,,,,,,,
312,20180817_sample_2,20180817_slice_2,8/17/2018,sample 2,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1221085,1247943,128552,4,8399,Pvalb,Pvalb Il1rapl2,0.95,Pvalb Il1rapl2 (95.0%),Pvalb Tpbg (100.0%),2108,169.06,Fede,42,372,138,578.8,1597.488,y,
313,20180817_sample_3,20180817_slice_3,8/17/2018,sample 3,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,2996155,693709,134809,4,11345,Pvalb,Pvalb Il1rapl2,0.86,Pvalb Il1rapl2 (85.7%),,,,,,,,,,,
314,20180817_sample_4,20180817_slice_4,8/17/2018,sample 4,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,901282,430080,66026,4,7070,Pvalb,Pvalb Reln,0.94,Pvalb Reln (94.0%),,,,,,,,,,,
315,20180817_sample_5,20180817_slice_5,8/17/2018,sample 5,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1256627,1546246,204305,4,10268,Pvalb,Pvalb Il1rapl2,0.95,Pvalb Il1rapl2 (95.3%),Pvalb Tpbg (100.0%),1927,231.26,Fede,50,362.1,131.1,618.3,1706.508,,
316,20180817_sample_6,20180817_slice_6,8/17/2018,sample 6,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,772360,1207990,183131,4,10764,IT,L4/5 IT_2,0.91,L4/5 IT_2 (90.6%),,,,,,,,,,,
317,20180817_sample_7,20180817_slice_7,8/17/2018,sample 7,mouse_APLSV,6/29/2018,49,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,5386101,471445,185070,4,13989,Pvalb,Pvalb Il1rapl2,0.88,Pvalb Il1rapl2 (87.7%),,,,,,,,,,,
318,20180820_sample_1,20180820_slice_1,8/20/2018,sample 1,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1434793,1651393,179133,4,9473,Sst,Sst Hpse,0.83,Sst Hpse (82.9%),,,,,,,,,,,
319,20180820_sample_2,20180820_slice_2,8/20/2018,sample 2,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,6,SST-,980871,1387282,131883,4,10252,IT,L5 IT_4,0.96,L5 IT_4 (95.7%),L6 IT VISp Penk Col27a1 (57.0%),,,,,,,,,,
320,20180820_sample_3,20180820_slice_3,8/20/2018,sample 3,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1073088,1173323,159318,4,8872,Sst,Sst Calb2,1,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),1782,227.74,Fede,38,356.1,140.2,557.6,1538.976,,
321,20180820_sample_4,20180820_slice_4,8/20/2018,sample 4,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,656757,450383,65562,4,8268,Sst,Sst Calb2,0.99,Sst Calb2 (98.7%),Sst Calb2 Pdlim5 (100.0%),2034,172.39,Fede,56,337.3,123.5,537,1482.12,y,
322,20180820_sample_5,20180820_slice_5,8/20/2018,sample 5,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,540819,473012,66152,4,7280,Sst,Sst Pvalb Calb2,0.99,Sst Pvalb Calb2 (99.0%),Sst Tac1 Tacr3 (89.0%),,,,,,,,,,
323,20180820_sample_6,20180820_slice_6,8/20/2018,sample 6,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST-,900075,54270,72628,4,4634,IT,L2/3 IT_3,0.73,L2/3 IT_3 (73.3%),,,,,,,,,,,
324,20180820_sample_7,20180820_slice_7,8/20/2018,sample 7,mouse_WVNFF,6/19/2018,62,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1467784,391450,122764,4,9539,Sst,Sst Pvalb Calb2,0.9,Sst Pvalb Calb2 (89.6%),,,,,,,,,,,
325,20180822_sample_1,20180822_slice_1,8/22/2018,sample 1,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1661854,1564524,193771,4,10858,Pvalb,Pvalb Reln,0.98,Pvalb Reln (97.6%),Pvalb Reln Itm2a (100.0%),2081,454.37,Fede,44,552.9,200.7,602.1,1661.796,y,
326,20180822_sample_2,20180822_slice_2,8/22/2018,sample 2,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,761152,1097299,131991,4,11440,Pvalb,Pvalb Reln,0.46,Pvalb Reln (46.1%),,,,,,,,,,,
327,20180822_sample_3,20180822_slice_3,8/22/2018,sample 3,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,2228689,1551265,179459,4,11860,Pvalb,Pvalb Il1rapl2,0.9,Pvalb Il1rapl2 (89.9%),,,,,,,,,,,
328,20180822_sample_4,20180822_slice_4,8/22/2018,sample 4,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1545566,1006116,150987,4,9629,Pvalb,Pvalb Reln,0.4,Pvalb Reln (39.9%),,,,,,,,,,,
329,20180822_sample_6,20180822_slice_6,8/22/2018,sample 6,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,994316,976388,126864,4,9029,Pvalb,Pvalb Il1rapl2,0.81,Pvalb Il1rapl2 (81.3%),,,,,,,,,,,
330,20180822_sample_7,20180822_slice_7,8/22/2018,sample 7,mouse_MSVHB,6/27/2018,56,F,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1129888,943837,128660,4,10110,Pvalb,Pvalb Il1rapl2,0.9,Pvalb Il1rapl2 (90.0%),,,,,,,,,,,
331,20180828_sample_2,20180828_slice_2,8/28/2018,sample 2,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,699422,676959,74942,4,8617,Pvalb,Pvalb Il1rapl2,0.71,Pvalb Il1rapl2 (70.7%),,,,,,,,,,,
332,20180828_sample_3,20180828_slice_3,8/28/2018,sample 3,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,823275,828442,106609,4,10569,Pvalb,Pvalb Reln,0.84,Pvalb Reln (83.7%),,,,,,,,,,,
333,20180828_sample_4,20180828_slice_4,8/28/2018,sample 4,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,717489,930880,124200,4,10189,IT,L2/3 IT_3,0.99,L2/3 IT_3 (99.1%),L2/3 IT VISp Agmat (83.0%),,,,,,,,,,
334,20180828_sample_5,20180828_slice_5,8/28/2018,sample 5,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,764395,953326,101451,4,9427,Pvalb,Pvalb Reln,1,Pvalb Reln (99.7%),Pvalb Reln Itm2a (100.0%),1828,338.09,Fede,51,616.6,223.2,582.9,1608.804,y,
335,20180828_sample_6,20180828_slice_6,8/28/2018,sample 6,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1374423,389614,78069,4,10805,Pvalb,Pvalb Reln,0.64,Pvalb Reln (64.4%),,,,,,,,,,,
336,20180828_sample_7,20180828_slice_7,8/28/2018,sample 7,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV-,212543,82313,78972,4,1641,low quality,,,,,1521,70.02,Fede,20,204.9,75,565.6,1561.056,y,
337,20180828_sample_8,20180828_slice_8,8/28/2018,sample 8,mouse_UAOAE,6/11/2018,78,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1213609,1516583,215637,4,11078,IT,L2/3 IT_3,0.79,L2/3 IT_3 (79.1%),,,,,,,,,,,
338,20180829_sample_1,20180829_slice_1,8/29/2018,sample 1,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1589482,2010651,253055,4,11081,Sst,Sst Calb2,0.77,Sst Calb2 (77.1%),,,,,,,,,,,
339,20180829_sample_2,20180829_slice_2,8/29/2018,sample 2,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1789701,555389,121565,4,12400,Sst,Sst Calb2,1,Sst Calb2 (99.6%),Sst Calb2 Pdlim5 (100.0%),1845,537.77,Fede,40,286.7,108.7,578.6,1596.936,y,
340,20180829_sample_3,20180829_slice_3,8/29/2018,sample 3,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1295178,683567,132154,4,10120,Sst,Sst Calb2,1,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),1805,260.11,Fede,42,200.4,71.8,564.9,1559.124,,
341,20180829_sample_4,20180829_slice_4,8/29/2018,sample 4,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1031878,833760,111804,4,9314,Sst,Sst Calb2,1,Sst Calb2 (99.6%),Sst Calb2 Pdlim5 (100.0%),1824,255.55,Fede,45,362.4,128.5,549.3,1516.068,,
342,20180829_sample_5,20180829_slice_5,8/29/2018,sample 5,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,810345,969340,184263,4,11709,Sst,Sst Pvalb Etv1,0.79,Sst Pvalb Etv1 (78.6%),,,,,,,,,,,
343,20180829_sample_6,20180829_slice_6,8/29/2018,sample 6,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,956463,420302,83599,4,9081,Sst,Sst Calb2,1,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),1805,191.61,Fede,56,224.4,80.6,611.7,1688.292,y,
344,20180829_sample_7,20180829_slice_7,8/29/2018,sample 7,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,999433,601619,85275,4,9315,Sst,Sst Calb2,0.9,Sst Calb2 (90.3%),,,,,,,,,,,
345,20180829_sample_8,20180829_slice_8,8/29/2018,sample 8,mouse_PSDCQ,6/19/2018,71,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST-,1102299,1223036,174836,4,10780,IT,L2/3 IT_3,0.76,L2/3 IT_3 (76.3%),,,,,,,,,,,
346,20180830_sample_1,20180830_slice_1,8/30/2018,sample 1,mouse_QLNUF,6/11/2018,80,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,5,PV+,614977,40501,43174,4,3890,Pvalb,Pvalb Reln,0.61,Pvalb Reln (61.3%),,,,,,,,,,,
347,20180830_sample_2,20180830_slice_2,8/30/2018,sample 2,mouse_QLNUF,6/11/2018,80,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1402766,1557087,146617,4,11335,Pvalb,Pvalb Il1rapl2,0.62,Pvalb Il1rapl2 (61.6%),,,,,,,,,,,
348,20180830_sample_5,20180830_slice_5,8/30/2018,sample 5,mouse_QLNUF,6/11/2018,80,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,918484,44159,54893,4,4476,Pvalb,Pvalb Reln,0.48,Pvalb Reln (47.9%),,,,,,,,,,,
349,20180830_sample_6,20180830_slice_6,8/30/2018,sample 6,mouse_QLNUF,6/11/2018,80,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1423874,1100619,153563,4,8478,Pvalb,Pvalb Reln,0.51,Pvalb Reln (51.0%),,,,,,,,,,,
350,20180904_sample_1,20180904_slice_1,9/4/2018,sample 1,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1467398,1343959,187004,4,10159,Pvalb,Pvalb Reln,0.59,Pvalb Reln (58.9%),,,,,,,,,,,
351,20180904_sample_2,20180904_slice_2,9/4/2018,sample 2,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,946451,1145620,160856,4,10225,Pvalb,Pvalb Il1rapl2,0.6,Pvalb Il1rapl2 (60.1%),,,,,,,,,,,
352,20180904_sample_3,20180904_slice_3,9/4/2018,sample 3,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2003202,553017,92287,4,11838,Pvalb,Pvalb Reln,0.85,Pvalb Reln (85.3%),,,,,,,,,,,
353,20180904_sample_4,20180904_slice_4,9/4/2018,sample 4,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1465484,1161437,169739,4,11479,Pvalb,Pvalb Kank4,0.8,Pvalb Kank4 (80.3%),,,,,,,,,,,
354,20180904_sample_5,20180904_slice_5,9/4/2018,sample 5,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1360247,1071645,116002,4,11519,Pvalb,Pvalb Il1rapl2,0.78,Pvalb Il1rapl2 (77.6%),,,,,,,,,,,
355,20180904_sample_6,20180904_slice_6,9/4/2018,sample 6,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1190158,883120,166901,4,10659,Pvalb,Pvalb Reln,0.91,Pvalb Reln (90.9%),,,,,,,,,,,
356,20180904_sample_7,20180904_slice_7,9/4/2018,sample 7,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1912506,1856816,203934,4,10138,Pvalb,Pvalb Il1rapl2,0.96,Pvalb Il1rapl2 (95.9%),Pvalb Tpbg (100.0%),2310,202.7,Fede,45,218.9,77.2,514,1418.64,y,
357,20180904_sample_9,20180904_slice_9,9/4/2018,sample 9,mouse_CIEXQ,6/11/2018,85,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1910213,721809,115216,4,10904,Pvalb,Pvalb Il1rapl2,0.92,Pvalb Il1rapl2 (91.9%),,,,,,,,,,,
358,20180905_sample_1,20180905_slice_1,9/5/2018,sample 1,mouse_NUCAT,6/18/2018,79,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,947988,816778,145016,4,6773,Sst,Sst Pvalb Calb2,0.49,Sst Pvalb Calb2 (49.1%),,,,,,,,,,,
359,20180905_sample_2,20180905_slice_2,9/5/2018,sample 2,mouse_NUCAT,6/18/2018,79,F,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1228399,562532,114283,4,8362,Sst,Sst Calb2,0.73,Sst Calb2 (72.7%),,,,,,,,,,,
360,20180910_sample_2,20180910_slice_2,9/10/2018,sample 2,mouse_UWACR,6/18/2018,84,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,3998218,640597,169627,6,12948,Sst,Sst Myh8_1,0.68,Sst Myh8_1 (68.4%),,,,,,,,,,,
361,20180910_sample_3,20180910_slice_3,9/10/2018,sample 3,mouse_UWACR,6/18/2018,84,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1244410,492534,131019,4,8641,Sst,Sst Crhr2_2,0.83,Sst Crhr2_2 (83.1%),,,,,,,,,,,
362,20180911_sample_1,20180911_slice_1,9/11/2018,sample 1,mouse_YJVZC,6/18/2018,85,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1361424,1021274,165522,4,10820,Sst,Sst Chodl,1,Sst Chodl (100.0%),Sst Chodl (100.0%),2083,493.43,Fede,35,381,136.6,536.2,1479.912,,
363,20180911_sample_2,20180911_slice_2,9/11/2018,sample 2,mouse_YJVZC,6/18/2018,85,M,Sst-IRES-Cre/wt; Ai9/wt,5,6,SST+,1171303,1302867,181239,4,10234,Sst,Sst C1ql3_1,0.68,Sst C1ql3_1 (67.6%),,,,,,,,,,,
364,20180911_sample_3,20180911_slice_3,9/11/2018,sample 3,mouse_YJVZC,6/18/2018,85,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,1712397,1279573,221339,4,10535,Sst,Sst Calb2,1,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),2100,307.33,Fede,48,191.6,66,547.2,1510.272,y,
365,20180911_sample_5,20180911_slice_5,9/11/2018,sample 5,mouse_YJVZC,6/18/2018,85,M,Sst-IRES-Cre/wt; Ai9/wt,3-Feb,3-Feb,SST+,244007,35248,45701,4,1774,Sst,Sst Chodl,0.14,Sst Th_3 (13.9%),,,,,,,,,,,
366,20180911_sample_6,20180911_slice_6,9/11/2018,sample 6,mouse_YJVZC,6/18/2018,85,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1333729,52200,70880,4,4902,Sst,Sst Tac2,0.69,Sst Tac2 (69.3%),,,,,,,,,,,
367,20180912_sample_2,20180912_slice_2,9/12/2018,sample 2,mouse_HNXRO,6/29/2018,75,M,Pvalb-Cre/wt; Ai9/wt,3-Feb,3-Feb,PV+,1412570,1904139,221448,4,10744,Pvalb,Pvalb Il1rapl2,0.99,Pvalb Il1rapl2 (99.3%),Pvalb Tpbg (100.0%),1752,210.94,Fede,59,207.5,77.4,612.3,1689.948,y,
368,20180912_sample_3,20180912_slice_3,9/12/2018,sample 3,mouse_HNXRO,6/29/2018,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1118636,981144,192412,4,9901,Pvalb,Pvalb Gpr149,0.75,Pvalb Gpr149 (74.7%),,,,,,,,,,,
